twitter_link,text,date,likes,comments
https://twitter.com/fectcofapa28517/status/1724702529362300984#m,"Anies Baswedan memukul telak kebijakan subsidi mobil listrik Menurutnya, ini bukan solusi untuk atasi polusi udara. Kritik yang membangkitkan kesadaran 💨🚗 #AnisMuhaiminAmin","Nov 15, 2023 · 8:15 AM UTC",0,0
https://twitter.com/madhyc59/status/1724648501047591095#m,"Intinya Joe biden mengatakan ayo lah jokowi, Indonesia kita berteman tidak usah lah kau ikut campur dalam masalah ini. Mari kita bicara tentang perubahan iklim, polusi, baterai mobil listrik. Tidak usah kita bahas Palestina. Begitulah kira kira","Nov 15, 2023 · 4:40 AM UTC",0,0
https://twitter.com/erz_riz/status/1722468956857131305#m,"Jakarta, 09 Nov 2023 jam 11.15 WIB Entah mendung atau kembali polusi? Btw apakah target penjualan mobil listrik 2023 sdh tercapai #justasking  Still #SavePalestine_FromZionism","Nov 9, 2023 · 4:19 AM UTC",0,0
https://twitter.com/tedjosumarno/status/1722410948789682641#m,Orang luar melihat kinerja presiden sangat bagus punya visi misi dunia yg damai dunia yg hijau bersih dari polusi.di dalam negri beliau sdh memberi contoh banyak menanam mangrove mensuport pemakaian energy hijau yg ramah lingkungan pemakaian motor dan mobil listrik cocok di.PBB.,"Nov 9, 2023 · 12:29 AM UTC",0,0
https://twitter.com/VFathun/status/1721857991128084819#m,"Polusi dan uji emisi hanya kebohongan untuk memuluskan program mobil listrik, yg dimana yg di untungkan ya okigarki, nih dengerin Jenderal Dharma  ngomong. !!!!!","Nov 7, 2023 · 11:51 AM UTC",344,0
https://twitter.com/bumilautlangit/status/1721852735879077984#m,"Mau bisa nyetir juga kalo di dalam gedung display kendaraan bermotor jangankan jalan, dinyalain aja ga boleh Yu, itu asep knalpotnya jadi polusi dalam ruangan. Kalo mobil listrik mungkin boleh ya.","Nov 7, 2023 · 11:30 AM UTC",0,1
https://twitter.com/pln_jabar/status/1721782542632980887#m,"Praktis, hemat, keren, bebas polusi, mobil listrik dong 😍😍😍  Sound : Jung Kook, Jack Harlow, 3D  #pln #plnjabar #plnmobile #electrifyinglifestyle #SPKLU #SPKLUPLN #UnleashingEnergyandBeyond #BarayaUIDJabar","Nov 7, 2023 · 6:52 AM UTC",0,0
https://twitter.com/pln_jabar/status/1721782539873087926#m,"Electrizen... Siapa nih yang hobi hangout bareng Bestie? Sudah pernah cobain hangoutnya pakai mobil listrik? Cobain yuk, kapan lagi jalan-jalan asyik tanpa menyumbang polusi udara.  Sambil ngopi cantik, bisa sambil ngecharge mobil listrik di SPKLU PLN.","Nov 7, 2023 · 6:52 AM UTC",2,1
https://twitter.com/UJunami/status/1721497746623127993#m,"serius nanya, orang-orang tuh kerjanya apa sih kok ada yang bisa beli mobil listrik padahal usianya masih di bawah 20-an.   jadi pengen punya mobil listrik tapi caranya gimana, ya? mana mobil listrik modelnya cakep-cakep dan bebas polusi juga.  kapan ya bisa punya mobil listrik.","Nov 6, 2023 · 12:00 PM UTC",77,41
https://twitter.com/Pr1nC3j03/status/1720278227690926347#m,Mobil listrik laku di cina tp bersumber dr batubara yg sangat polusi,"Nov 3, 2023 · 3:14 AM UTC",0,0
https://twitter.com/erenomous/status/1720107922834026965#m,"Klo kebijakan nya masih byk yg dirugikan, ga usah ada jing. Urus itu asal polusi sesungguhnya yg katanya bakal jd “energi alternatif”, udh tau blom siap transisi krn mobil listrik masih relatif mahal dan infrastruktur blom merata  Percuma beralih ke kendaraan listrik (cont)","Nov 2, 2023 · 3:57 PM UTC",0,1
https://twitter.com/Kasayanto_/status/1720022516163579920#m,Gak ditebang tetap aja polusi kendaraan berbahan bakar minyak ... kalau mobil listrik baru kelihatan bedanya,"Nov 2, 2023 · 10:18 AM UTC",0,1
https://twitter.com/reskap_/status/1719862354383679527#m,"Mobil  LISTRIK itu identik dengan pengundulan hutan untuk nikel dan Batubara, serta menambah polusi dari pembangkit listrik batubara.","Nov 1, 2023 · 11:41 PM UTC",36,0
https://twitter.com/Akbaradii/status/1719612137725943852#m,"uji emisi nanti ujung""ujungnya pindah ke mobil listrik, mobil listrik pake batrai batrainya dari nikel, pabrik nikel pakai batubara buat proses ya atuh sama aja, kalau mau gak ada polusi ya pakai sepeda 😑😑😑","Nov 1, 2023 · 7:07 AM UTC",7,1
https://twitter.com/yoCans13/status/1719600498368721364#m,"""Makanya beli mobil atau motor listrik, biar polusi udara berkurang juga.""","Nov 1, 2023 · 6:21 AM UTC",0,0
https://twitter.com/IbnuNasir8/status/1719349256480592189#m,"bbm adlh hasil tambang tpi punya dampak polusi udara, maka diciptakanlah mobil listrik yg ramah lingkungan tpi bahan bakunya tetap dri hasil tambang.","Oct 31, 2023 · 1:43 PM UTC",0,2
https://twitter.com/BorneoSamoa/status/1719226593560944841#m,"Pengibuuull, Ngebacot, paling hebat yg prnh ada di dunia. Jgn dpercaya krn banyak contoh yg sdh dilakukan satupun tdk ada yg becus dgn anggaran yg begitu bsr 400T. Dan satu lg yg tdk kalah penting, mobil listrik mengeluarkan polusi yg sgt besar dr kendaraan yg memakai BBM. 🤮😜🤭","Oct 31, 2023 · 5:35 AM UTC",0,0
https://twitter.com/jajaejak/status/1719223183025610887#m,"Iya mobil ga ngeluarin asap, sumber energinya (listrik) tetep perlu bakar batubara berlebih. Lupa kasus polusi parah Jakarta bulan kemarin gara-gara PLTU?","Oct 31, 2023 · 5:22 AM UTC",0,3
https://twitter.com/MakrupQobul/status/1719168070378475944#m,Dibalik bacotan polusa polusi ada uang yang mengalir. Gagal jualan mobil listrik eh nyari duit dari jalur lain. https://www.google.com/amp/s/www.motorplus-online.com/amp/253930509/dilarang-masuk-jakarta-mulai-1-november-motor-dan-mobil-berumur-lebih-dari-3-tahun-akan-dirazia-loh,"Oct 31, 2023 · 1:43 AM UTC",18,4
https://twitter.com/pololotoop/status/1719164755754295454#m,Noh yg bilang mobil listrik ngurangin polusi,"Oct 31, 2023 · 1:29 AM UTC",25,3
https://twitter.com/BorneoSamoa/status/1718810894027907178#m,"Oaawaaalah.. Omongan Pengibul. Sampai sekarang Pohon Mahoni yg ditebang gak jelas, katanya untuk di sehatkan. Mobil Listrik membuat  polusi buruk dari pada kenderaan yg menggunakan BBM. Seperti gak punya otak untuk berpikir. 🤭🤮🤮","Oct 30, 2023 · 2:03 AM UTC",0,1
https://twitter.com/VinbenD94935/status/1718439508281323674#m,Mobil listrik yg listriknya hasil pembakaran batu bara...hasil pembakaran batu bara jadi polusi udara paling parah....,"Oct 29, 2023 · 1:28 AM UTC",2,0
https://twitter.com/emmamalikanice/status/1717771267330453851#m,Setidaknya dapat mengurangi polusi yang saat ini telah memprihatinkan sedangkan untuk kendaraan pribadi yang kita miliki gunakan bahan bakar energi terbarukan seperti mobil atau motor listrik. Semua hal baik hanya  #UntukmuBumiku #MudaMudiBumi #BersamaBergerakBerdaya,"Oct 27, 2023 · 5:12 AM UTC",0,1
https://twitter.com/pthaleyorapower/status/1717536766146773302#m,"WOW! Nggak tanggung - tanggung nih #SobatHP. Beli mobil listrik dapat subsidi hingga 70 juta rupiah. Tentunya ini dengan T&C ya. Yuk, ikut berperan aktif dalam membantu mengurangi polusi udara di ibukota tercinta kita ini 😊","Oct 26, 2023 · 1:40 PM UTC",1,0
